,video_file_path,valid_movement,max_magnitude
0,./butterworth-filtered-videos/all_dataset/454f95d1-957_video_M_mat_butter_low_pass.mp4,False,61.866478
0,./butterworth-filtered-videos/all_dataset/6ce4de74-862_video_M_mat_butter_low_pass.mp4,False,175.61615
0,./butterworth-filtered-videos/all_dataset/f3da9167-96d_video_M_mat_butter_low_pass.mp4,False,122.03371
0,./butterworth-filtered-videos/all_dataset/0da2b10e-f53_video_M_mat_butter_low_pass.mp4,False,51.79487
0,./butterworth-filtered-videos/all_dataset/d36222b4-242_video_M_mat_butter_low_pass.mp4,True,28.430496
0,./butterworth-filtered-videos/all_dataset/ce708cb6-aba_video_M_mat_butter_low_pass.mp4,False,67.03791
0,./butterworth-filtered-videos/all_dataset/1590ef5e-30c_video_M_mat_butter_low_pass.mp4,False,50.038242
0,./butterworth-filtered-videos/all_dataset/fa75995d-3f3_video_M_mat_butter_low_pass.mp4,True,3.991011
0,./butterworth-filtered-videos/all_dataset/57007b9d-ab9_video_M_mat_butter_low_pass.mp4,True,43.300102
0,./butterworth-filtered-videos/all_dataset/476819b1-d52_video_M_mat_butter_low_pass.mp4,False,945.025
0,./butterworth-filtered-videos/all_dataset/5b3e5cba-b55_video_M_mat_butter_low_pass.mp4,False,77.50334
0,./butterworth-filtered-videos/all_dataset/f0e5c7e1-d54_video_M_mat_butter_low_pass.mp4,False,118.45246
0,./butterworth-filtered-videos/all_dataset/3ed2e82a-9ea_video_M_mat_butter_low_pass.mp4,False,54.386497
0,./butterworth-filtered-videos/all_dataset/48ad85c2-b38_video_M_mat_butter_low_pass.mp4,True,33.167404
0,./butterworth-filtered-videos/all_dataset/be7f4eb7-f39_video_M_mat_butter_low_pass.mp4,False,66.69304
0,./butterworth-filtered-videos/all_dataset/e87e8a46-87e_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/a2353c1a-028_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/4fd7439e-fcb_video_M_mat_butter_low_pass.mp4,True,5.310814
0,./butterworth-filtered-videos/all_dataset/962b3952-84f_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/408ee610-f1d_video_M_mat_butter_low_pass.mp4,False,78.90545
0,./butterworth-filtered-videos/all_dataset/dd8b692f-673_video_M_mat_butter_low_pass.mp4,False,104.074585
0,./butterworth-filtered-videos/all_dataset/e95a241d-8f4_video_M_mat_butter_low_pass.mp4,True,1.2901611
0,./butterworth-filtered-videos/all_dataset/73b9a9c7-ca1_video_M_mat_butter_low_pass.mp4,True,18.0101
0,./butterworth-filtered-videos/all_dataset/ac2ade92-988_video_M_mat_butter_low_pass.mp4,True,31.874098
0,./butterworth-filtered-videos/all_dataset/b1bb2613-9ae_video_M_mat_butter_low_pass.mp4,True,13.175884
0,./butterworth-filtered-videos/all_dataset/0afaa9c4-702_video_M_mat_butter_low_pass.mp4,False,52.77402
0,./butterworth-filtered-videos/all_dataset/b2d2f05d-f5f_video_M_mat_butter_low_pass.mp4,True,5.4357347
0,./butterworth-filtered-videos/all_dataset/a7982088-78f_video_M_mat_butter_low_pass.mp4,False,160.53642
0,./butterworth-filtered-videos/all_dataset/b9c165cc-798_video_M_mat_butter_low_pass.mp4,True,2.1303525
0,./butterworth-filtered-videos/all_dataset/9179dd4d-b0b_video_M_mat_butter_low_pass.mp4,True,3.957597
0,./butterworth-filtered-videos/all_dataset/b7d349b4-59c_video_M_mat_butter_low_pass.mp4,True,15.047963
0,./butterworth-filtered-videos/all_dataset/c9f74c6f-39f_video_M_mat_butter_low_pass.mp4,False,141.89468
0,./butterworth-filtered-videos/all_dataset/d2192b21-a1e_video_M_mat_butter_low_pass.mp4,True,33.58723
0,./butterworth-filtered-videos/all_dataset/3399203f-fb2_video_M_mat_butter_low_pass.mp4,False,167.24936
0,./butterworth-filtered-videos/all_dataset/b354df63-885_video_M_mat_butter_low_pass.mp4,True,12.088919
0,./butterworth-filtered-videos/all_dataset/ab78c0e1-f25_video_M_mat_butter_low_pass.mp4,True,4.5220757
0,./butterworth-filtered-videos/all_dataset/6547bc7c-1c8_video_M_mat_butter_low_pass.mp4,True,15.228163
0,./butterworth-filtered-videos/all_dataset/c447f8ff-87e_video_M_mat_butter_low_pass.mp4,False,54.08283
0,./butterworth-filtered-videos/all_dataset/487c0cb8-6ea_video_M_mat_butter_low_pass.mp4,False,92.25988
0,./butterworth-filtered-videos/all_dataset/0fffda5b-f21_video_M_mat_butter_low_pass.mp4,True,24.651367
0,./butterworth-filtered-videos/all_dataset/29d6edcf-c73_video_M_mat_butter_low_pass.mp4,True,41.54178
0,./butterworth-filtered-videos/all_dataset/a92aa3d1-086_video_M_mat_butter_low_pass.mp4,True,42.951324
0,./butterworth-filtered-videos/all_dataset/29a3f7c0-8ef_video_M_mat_butter_low_pass.mp4,False,69.77043
0,./butterworth-filtered-videos/all_dataset/b4f89365-fd7_video_M_mat_butter_low_pass.mp4,False,124.38267
0,./butterworth-filtered-videos/all_dataset/7bec9da0-1ed_video_M_mat_butter_low_pass.mp4,False,326.104
0,./butterworth-filtered-videos/all_dataset/d451c4be-cbd_video_M_mat_butter_low_pass.mp4,True,18.174551
0,./butterworth-filtered-videos/all_dataset/c7790c58-ad5_video_M_mat_butter_low_pass.mp4,False,70.181366
0,./butterworth-filtered-videos/all_dataset/3eda28e4-508_video_M_mat_butter_low_pass.mp4,False,157.80205
0,./butterworth-filtered-videos/all_dataset/d84bf20a-e6c_video_M_mat_butter_low_pass.mp4,True,8.448952
0,./butterworth-filtered-videos/all_dataset/1baa8c3a-3ed_video_M_mat_butter_low_pass.mp4,False,141.43535
0,./butterworth-filtered-videos/all_dataset/89721b4a-6de_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/89640248-877_video_M_mat_butter_low_pass.mp4,False,86.02666
0,./butterworth-filtered-videos/all_dataset/1257eea2-d12_video_M_mat_butter_low_pass.mp4,False,58.456573
0,./butterworth-filtered-videos/all_dataset/372e54dc-ffb_video_M_mat_butter_low_pass.mp4,True,11.944152
0,./butterworth-filtered-videos/all_dataset/f8d721d2-36d_video_M_mat_butter_low_pass.mp4,False,82.72119
0,./butterworth-filtered-videos/all_dataset/a8ed761c-cf7_video_M_mat_butter_low_pass.mp4,False,65.29233
0,./butterworth-filtered-videos/all_dataset/ce2956ba-ce1_video_M_mat_butter_low_pass.mp4,False,52.842876
0,./butterworth-filtered-videos/all_dataset/80c50250-070_video_M_mat_butter_low_pass.mp4,False,62.588203
0,./butterworth-filtered-videos/all_dataset/e99640fc-a41_video_M_mat_butter_low_pass.mp4,False,146.78311
0,./butterworth-filtered-videos/all_dataset/2e07d03c-099_video_M_mat_butter_low_pass.mp4,False,113.347145
0,./butterworth-filtered-videos/all_dataset/b67b38ae-f5d_video_M_mat_butter_low_pass.mp4,False,85.88445
0,./butterworth-filtered-videos/all_dataset/d9919885-d84_video_M_mat_butter_low_pass.mp4,True,13.435016
0,./butterworth-filtered-videos/all_dataset/916c267c-fef_video_M_mat_butter_low_pass.mp4,True,11.101595
0,./butterworth-filtered-videos/all_dataset/c6a1a825-5d8_video_M_mat_butter_low_pass.mp4,True,17.72194
0,./butterworth-filtered-videos/all_dataset/6eab8e4d-83c_video_M_mat_butter_low_pass.mp4,True,15.51969
0,./butterworth-filtered-videos/all_dataset/706abea0-0c2_video_M_mat_butter_low_pass.mp4,False,78.59433
0,./butterworth-filtered-videos/all_dataset/0f412ede-a0e_video_M_mat_butter_low_pass.mp4,False,76.10913
0,./butterworth-filtered-videos/all_dataset/fbef8fbd-496_video_M_mat_butter_low_pass.mp4,False,114.126015
0,./butterworth-filtered-videos/all_dataset/29d05348-a4c_video_M_mat_butter_low_pass.mp4,True,12.708148
0,./butterworth-filtered-videos/all_dataset/00317dca-52b_video_M_mat_butter_low_pass.mp4,False,141.1698
0,./butterworth-filtered-videos/all_dataset/2bab1e5c-b7d_video_M_mat_butter_low_pass.mp4,True,16.947142
0,./butterworth-filtered-videos/all_dataset/236a1e79-b5c_video_M_mat_butter_low_pass.mp4,True,22.876434
0,./butterworth-filtered-videos/all_dataset/c60bc2ad-381_video_M_mat_butter_low_pass.mp4,False,78.264656
0,./butterworth-filtered-videos/all_dataset/10d536f6-8bf_video_M_mat_butter_low_pass.mp4,True,1.3637822
0,./butterworth-filtered-videos/all_dataset/8536958a-e70_video_M_mat_butter_low_pass.mp4,False,104.589294
0,./butterworth-filtered-videos/all_dataset/a7f43e42-110_video_M_mat_butter_low_pass.mp4,True,39.472145
0,./butterworth-filtered-videos/all_dataset/ba5f65fb-f29_video_M_mat_butter_low_pass.mp4,False,58.52695
0,./butterworth-filtered-videos/all_dataset/2725c1e2-6c3_video_M_mat_butter_low_pass.mp4,True,32.21779
0,./butterworth-filtered-videos/all_dataset/1e86560a-51c_video_M_mat_butter_low_pass.mp4,True,21.627352
0,./butterworth-filtered-videos/all_dataset/9d27d490-370_video_M_mat_butter_low_pass.mp4,False,89.70437
0,./butterworth-filtered-videos/all_dataset/c70fb82d-415_video_M_mat_butter_low_pass.mp4,False,58.889526
0,./butterworth-filtered-videos/all_dataset/d7b45fb0-03c_video_M_mat_butter_low_pass.mp4,True,3.7110598
0,./butterworth-filtered-videos/all_dataset/b3596435-e36_video_M_mat_butter_low_pass.mp4,False,72.879486
0,./butterworth-filtered-videos/all_dataset/013d341e-83b_video_M_mat_butter_low_pass.mp4,False,56.419754
0,./butterworth-filtered-videos/all_dataset/e40a7d0e-f33_video_M_mat_butter_low_pass.mp4,True,37.019115
0,./butterworth-filtered-videos/all_dataset/a90e34d1-c96_video_M_mat_butter_low_pass.mp4,True,17.51178
0,./butterworth-filtered-videos/all_dataset/86c6fbc1-797_video_M_mat_butter_low_pass.mp4,True,6.532262
0,./butterworth-filtered-videos/all_dataset/d2039f5f-69b_video_M_mat_butter_low_pass.mp4,True,3.7167149
0,./butterworth-filtered-videos/all_dataset/dbca28ea-d9f_video_M_mat_butter_low_pass.mp4,True,15.894667
0,./butterworth-filtered-videos/all_dataset/bc306586-994_video_M_mat_butter_low_pass.mp4,True,29.513979
0,./butterworth-filtered-videos/all_dataset/42c679d8-4f8_video_M_mat_butter_low_pass.mp4,False,83.91848
0,./butterworth-filtered-videos/all_dataset/9c1c4d02-edb_video_M_mat_butter_low_pass.mp4,True,48.59269
0,./butterworth-filtered-videos/all_dataset/7ca412a3-94e_video_M_mat_butter_low_pass.mp4,True,33.376373
0,./butterworth-filtered-videos/all_dataset/ae6afbb4-123_video_M_mat_butter_low_pass.mp4,False,92.050125
0,./butterworth-filtered-videos/all_dataset/b458a319-380_video_M_mat_butter_low_pass.mp4,True,3.618455
0,./butterworth-filtered-videos/all_dataset/6b9f4d00-2a4_video_M_mat_butter_low_pass.mp4,True,3.663748
0,./butterworth-filtered-videos/all_dataset/28be2fa0-738_video_M_mat_butter_low_pass.mp4,False,151.24088
0,./butterworth-filtered-videos/all_dataset/d9392b2d-bad_video_M_mat_butter_low_pass.mp4,False,58.859478
0,./butterworth-filtered-videos/all_dataset/d7f84a89-996_video_M_mat_butter_low_pass.mp4,True,2.9902782
0,./butterworth-filtered-videos/all_dataset/e971606b-58e_video_M_mat_butter_low_pass.mp4,True,24.032213
0,./butterworth-filtered-videos/all_dataset/f1bb248f-508_video_M_mat_butter_low_pass.mp4,False,51.70253
0,./butterworth-filtered-videos/all_dataset/c6ac520c-922_video_M_mat_butter_low_pass.mp4,False,51.595512
0,./butterworth-filtered-videos/all_dataset/757002e4-111_video_M_mat_butter_low_pass.mp4,True,13.371589
0,./butterworth-filtered-videos/all_dataset/5f68ec06-0e5_video_M_mat_butter_low_pass.mp4,False,106.78529
0,./butterworth-filtered-videos/all_dataset/345b3b9c-ebc_video_M_mat_butter_low_pass.mp4,True,4.7531767
0,./butterworth-filtered-videos/all_dataset/8df6ee8d-c24_video_M_mat_butter_low_pass.mp4,True,15.001854
0,./butterworth-filtered-videos/all_dataset/0de66a92-f0a_video_M_mat_butter_low_pass.mp4,False,84.39276
0,./butterworth-filtered-videos/all_dataset/5b2f212d-a69_video_M_mat_butter_low_pass.mp4,False,66.94088
0,./butterworth-filtered-videos/all_dataset/13faa83c-c21_video_M_mat_butter_low_pass.mp4,False,71.33234
0,./butterworth-filtered-videos/all_dataset/22af3527-a19_video_M_mat_butter_low_pass.mp4,False,68.77869
0,./butterworth-filtered-videos/all_dataset/cedfff75-297_video_M_mat_butter_low_pass.mp4,True,22.953074
0,./butterworth-filtered-videos/all_dataset/d0baedbf-c04_video_M_mat_butter_low_pass.mp4,False,91.260765
0,./butterworth-filtered-videos/all_dataset/371c5472-ad5_video_M_mat_butter_low_pass.mp4,False,78.7253
0,./butterworth-filtered-videos/all_dataset/08a7b380-f23_video_M_mat_butter_low_pass.mp4,False,51.592884
0,./butterworth-filtered-videos/all_dataset/cb2328f7-078_video_M_mat_butter_low_pass.mp4,True,23.53174
0,./butterworth-filtered-videos/all_dataset/3ff1d86c-230_video_M_mat_butter_low_pass.mp4,False,58.352825
0,./butterworth-filtered-videos/all_dataset/67cfcc9b-e06_video_M_mat_butter_low_pass.mp4,False,52.24117
0,./butterworth-filtered-videos/all_dataset/0f7763a5-406_video_M_mat_butter_low_pass.mp4,True,5.431978
0,./butterworth-filtered-videos/all_dataset/0fbd89c1-6d8_video_M_mat_butter_low_pass.mp4,False,70.6294
0,./butterworth-filtered-videos/all_dataset/e37f652f-85f_video_M_mat_butter_low_pass.mp4,False,127.97331
0,./butterworth-filtered-videos/all_dataset/29681216-d14_video_M_mat_butter_low_pass.mp4,True,9.890217
0,./butterworth-filtered-videos/all_dataset/c10f6445-3f4_video_M_mat_butter_low_pass.mp4,False,61.942894
0,./butterworth-filtered-videos/all_dataset/6f0eebdf-cf9_video_M_mat_butter_low_pass.mp4,True,3.0508273
0,./butterworth-filtered-videos/all_dataset/b000b1f5-49e_video_M_mat_butter_low_pass.mp4,False,52.384823
0,./butterworth-filtered-videos/all_dataset/b4e23854-1a8_video_M_mat_butter_low_pass.mp4,True,30.268494
0,./butterworth-filtered-videos/all_dataset/11e5efba-3fc_video_M_mat_butter_low_pass.mp4,True,15.820551
0,./butterworth-filtered-videos/all_dataset/e948f52a-61c_video_M_mat_butter_low_pass.mp4,False,63.25952
0,./butterworth-filtered-videos/all_dataset/2be47c8c-f54_video_M_mat_butter_low_pass.mp4,False,83.634705
0,./butterworth-filtered-videos/all_dataset/75b225eb-9f5_video_M_mat_butter_low_pass.mp4,False,54.954185
0,./butterworth-filtered-videos/all_dataset/20b93273-2a3_video_M_mat_butter_low_pass.mp4,True,29.152824
0,./butterworth-filtered-videos/all_dataset/9348e6a2-57a_video_M_mat_butter_low_pass.mp4,True,40.7803
0,./butterworth-filtered-videos/all_dataset/fe670426-db8_video_M_mat_butter_low_pass.mp4,True,48.882847
0,./butterworth-filtered-videos/all_dataset/1a34c6bd-0b8_video_M_mat_butter_low_pass.mp4,False,312.12976
0,./butterworth-filtered-videos/all_dataset/97754cfb-d37_video_M_mat_butter_low_pass.mp4,False,53.72115
0,./butterworth-filtered-videos/all_dataset/ace43984-76a_video_M_mat_butter_low_pass.mp4,True,31.860119
0,./butterworth-filtered-videos/all_dataset/9e26bd0c-877_video_M_mat_butter_low_pass.mp4,True,17.889868
0,./butterworth-filtered-videos/all_dataset/461d7681-00d_video_M_mat_butter_low_pass.mp4,False,52.98242
0,./butterworth-filtered-videos/all_dataset/b1a81e48-dd2_video_M_mat_butter_low_pass.mp4,True,4.163058
0,./butterworth-filtered-videos/all_dataset/5b9e23f4-3df_video_M_mat_butter_low_pass.mp4,False,61.844353
0,./butterworth-filtered-videos/all_dataset/0d4b7c86-705_video_M_mat_butter_low_pass.mp4,True,15.495671
0,./butterworth-filtered-videos/all_dataset/0f5f70a5-d40_video_M_mat_butter_low_pass.mp4,False,87.00704
0,./butterworth-filtered-videos/all_dataset/c13ed1b4-43d_video_M_mat_butter_low_pass.mp4,True,24.979202
0,./butterworth-filtered-videos/all_dataset/a1c72121-4ee_video_M_mat_butter_low_pass.mp4,False,286.53714
0,./butterworth-filtered-videos/all_dataset/f541eaf7-fe6_video_M_mat_butter_low_pass.mp4,False,66.34216
0,./butterworth-filtered-videos/all_dataset/36b23e22-23c_video_M_mat_butter_low_pass.mp4,True,15.6602
0,./butterworth-filtered-videos/all_dataset/1d1b41cb-8f4_video_M_mat_butter_low_pass.mp4,True,47.401764
0,./butterworth-filtered-videos/all_dataset/abcf1121-938_video_M_mat_butter_low_pass.mp4,False,352.66776
0,./butterworth-filtered-videos/all_dataset/d28df5c4-a61_video_M_mat_butter_low_pass.mp4,False,55.088326
0,./butterworth-filtered-videos/all_dataset/5f131c61-ba5_video_M_mat_butter_low_pass.mp4,False,155.51758
0,./butterworth-filtered-videos/all_dataset/c6953f25-715_video_M_mat_butter_low_pass.mp4,True,6.903711
0,./butterworth-filtered-videos/all_dataset/e0425c22-986_video_M_mat_butter_low_pass.mp4,False,125.74165
0,./butterworth-filtered-videos/all_dataset/109808f4-a0b_video_M_mat_butter_low_pass.mp4,False,64.33713
0,./butterworth-filtered-videos/all_dataset/eb2606ba-dfa_video_M_mat_butter_low_pass.mp4,True,6.250947
0,./butterworth-filtered-videos/all_dataset/a3cd9dcc-634_video_M_mat_butter_low_pass.mp4,False,335.76535
0,./butterworth-filtered-videos/all_dataset/57200a2b-174_video_M_mat_butter_low_pass.mp4,False,93.54592
0,./butterworth-filtered-videos/all_dataset/72caff4d-393_video_M_mat_butter_low_pass.mp4,True,44.880676
0,./butterworth-filtered-videos/all_dataset/afda93b2-cb4_video_M_mat_butter_low_pass.mp4,False,53.17133
0,./butterworth-filtered-videos/all_dataset/985f1400-712_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/3f8d6a4a-7c3_video_M_mat_butter_low_pass.mp4,True,15.83073
0,./butterworth-filtered-videos/all_dataset/0cf1115d-b42_video_M_mat_butter_low_pass.mp4,False,72.45827
0,./butterworth-filtered-videos/all_dataset/1b82a5eb-198_video_M_mat_butter_low_pass.mp4,False,68.30209
0,./butterworth-filtered-videos/all_dataset/4d3d8fb8-083_video_M_mat_butter_low_pass.mp4,True,3.182649
0,./butterworth-filtered-videos/all_dataset/89e77526-5b8_video_M_mat_butter_low_pass.mp4,False,89.0419
0,./butterworth-filtered-videos/all_dataset/bbf76f30-b2d_video_M_mat_butter_low_pass.mp4,True,19.410465
0,./butterworth-filtered-videos/all_dataset/5fb17851-2b1_video_M_mat_butter_low_pass.mp4,False,125.53811
0,./butterworth-filtered-videos/all_dataset/6e517c30-5c8_video_M_mat_butter_low_pass.mp4,False,53.837944
0,./butterworth-filtered-videos/all_dataset/320f3407-422_video_M_mat_butter_low_pass.mp4,True,5.0047035
0,./butterworth-filtered-videos/all_dataset/41a60a0e-6f1_video_M_mat_butter_low_pass.mp4,True,10.942728
0,./butterworth-filtered-videos/all_dataset/e7483600-855_video_M_mat_butter_low_pass.mp4,True,3.9567192
0,./butterworth-filtered-videos/all_dataset/1c6a86e1-a6a_video_M_mat_butter_low_pass.mp4,False,59.00039
0,./butterworth-filtered-videos/all_dataset/02776765-da3_video_M_mat_butter_low_pass.mp4,False,52.93124
0,./butterworth-filtered-videos/all_dataset/f9f63f7b-61c_video_M_mat_butter_low_pass.mp4,False,62.090866
0,./butterworth-filtered-videos/all_dataset/2e702a2a-4fe_video_M_mat_butter_low_pass.mp4,True,2.1028225
0,./butterworth-filtered-videos/all_dataset/e9e31de7-6b6_video_M_mat_butter_low_pass.mp4,True,22.345469
0,./butterworth-filtered-videos/all_dataset/905bbce9-c6f_video_M_mat_butter_low_pass.mp4,False,105.13767
0,./butterworth-filtered-videos/all_dataset/cc2dcbf8-adb_video_M_mat_butter_low_pass.mp4,False,57.14613
0,./butterworth-filtered-videos/all_dataset/51461937-0c4_video_M_mat_butter_low_pass.mp4,False,57.06807
0,./butterworth-filtered-videos/all_dataset/62355674-201_video_M_mat_butter_low_pass.mp4,False,65.611435
0,./butterworth-filtered-videos/all_dataset/e0ddf601-a62_video_M_mat_butter_low_pass.mp4,True,43.91747
0,./butterworth-filtered-videos/all_dataset/c9de8f74-b95_video_M_mat_butter_low_pass.mp4,True,20.041904
0,./butterworth-filtered-videos/all_dataset/8a033f84-68c_video_M_mat_butter_low_pass.mp4,False,91.40506
0,./butterworth-filtered-videos/all_dataset/49363da9-7e4_video_M_mat_butter_low_pass.mp4,False,68.0494
0,./butterworth-filtered-videos/all_dataset/6c09dabe-0c3_video_M_mat_butter_low_pass.mp4,True,39.628662
0,./butterworth-filtered-videos/all_dataset/940dee01-1c2_video_M_mat_butter_low_pass.mp4,False,58.567482
0,./butterworth-filtered-videos/all_dataset/d3946477-7e4_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/ca4d4e8f-9df_video_M_mat_butter_low_pass.mp4,False,53.87959
0,./butterworth-filtered-videos/all_dataset/13a72a88-7b7_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/6669665e-c9c_video_M_mat_butter_low_pass.mp4,True,12.80938
0,./butterworth-filtered-videos/all_dataset/eabc622b-2cb_video_M_mat_butter_low_pass.mp4,False,113.28245
0,./butterworth-filtered-videos/all_dataset/518da185-f1d_video_M_mat_butter_low_pass.mp4,False,58.329548
0,./butterworth-filtered-videos/all_dataset/238af56a-f8f_video_M_mat_butter_low_pass.mp4,True,31.147276
0,./butterworth-filtered-videos/all_dataset/58be2c6a-b4f_video_M_mat_butter_low_pass.mp4,False,65.98363
